winside,d_1,d_2,d_3,d_4,d_5,r_1,r_2,r_3,r_4,r_5
dire,54,21,28,47,15,7,6,67,60,19
dire,63,54,36,9,31,16,22,27,41,73
dire,47,27,1,7,32,49,68,16,61,17
radiant,6,34,63,14,49,32,40,29,55,39
radiant,55,51,59,36,53,20,21,39,54,49
dire,49,53,20,28,61,31,59,30,32,10
radiant,30,19,4,31,18,34,21,22,40,9
dire,61,30,54,38,53,2,1,9,25,21
dire,31,22,21,35,29,30,26,68,19,1
radiant,32,31,69,39,1,14,68,59,45,22
dire,67,7,5,60,73,50,41,2,22,6
dire,68,35,57,1,42,64,6,27,40,14
radiant,33,57,25,6,2,17,41,14,4,68
dire,6,22,29,16,9,7,68,11,52,8
radiant,20,32,14,15,19,29,63,36,35,49
radiant,73,21,47,57,2,53,58,50,1,14
dire,25,23,19,37,63,27,61,33,50,54
dire,42,11,65,54,6,69,52,34,35,14
radiant,65,15,28,8,18,47,14,73,59,68
radiant,29,67,9,23,69,33,47,13,41,18
dire,49,17,25,41,19,4,53,68,28,73
radiant,33,7,16,32,63,35,14,38,9,28
radiant,64,17,67,16,23,51,45,1,6,34
radiant,15,36,10,54,21,2,41,22,1,28
radiant,16,31,53,28,50,26,23,60,13,32
radiant,11,39,73,14,32,35,42,59,28,19
radiant,17,37,41,27,59,68,65,6,14,54
dire,9,61,40,14,17,27,25,68,19,21
dire,21,29,23,22,9,28,68,53,7,16
dire,54,32,50,39,42,1,60,30,14,26
radiant,68,69,64,6,20,63,55,39,32,58
radiant,6,1,5,58,7,9,68,30,55,54
dire,45,13,1,23,41,9,6,36,42,69
radiant,17,23,10,73,15,32,4,1,35,18
dire,29,42,16,57,14,13,11,34,25,23
dire,29,35,9,53,4,6,68,52,19,54
dire,5,41,31,8,60,54,67,26,7,30
radiant,16,9,4,59,35,61,68,36,73,32
dire,1,19,26,5,9,51,11,14,63,27
dire,32,20,7,35,47,39,26,60,1,14
radiant,59,60,16,41,14,57,54,63,68,1
radiant,59,60,16,41,14,57,54,63,68,1
radiant,45,31,38,14,58,21,8,11,41,32
radiant,60,41,63,7,65,61,29,22,1,59
radiant,2,49,69,21,35,25,7,59,61,53
radiant,59,60,16,41,14,57,54,63,68,1
dire,7,52,36,8,51,6,63,26,2,67
dire,54,69,7,22,6,17,28,41,60,2
dire,25,22,23,1,14,30,59,34,60,63
radiant,20,31,8,65,28,53,32,15,29,26
radiant,53,45,1,59,32,21,67,23,61,31
radiant,19,6,1,16,20,10,53,4,68,2
dire,13,4,15,26,54,60,41,47,22,59
dire,20,9,21,54,60,42,2,65,14,1
radiant,14,50,67,16,6,35,7,55,9,57
dire,40,32,59,5,60,63,61,6,8,51
radiant,9,42,7,13,52,8,2,54,17,47
radiant,6,69,15,4,60,54,42,8,22,5
radiant,68,60,38,9,20,8,14,5,59,40
dire,20,41,1,22,25,35,38,6,26,19
dire,20,41,1,22,25,35,38,6,26,19
dire,31,20,67,66,21,9,23,53,41,51
radiant,14,1,68,63,35,60,15,55,54,47
dire,38,8,15,7,60,28,53,32,27,21
radiant,6,25,14,49,1,26,11,9,57,47
radiant,4,54,29,57,39,30,8,1,31,28
dire,40,59,50,58,47,42,60,4,21,65
radiant,68,18,69,60,21,51,13,15,20,28
dire,36,54,41,29,35,14,13,51,7,8
radiant,61,36,38,23,37,1,68,5,29,17
radiant,11,28,49,36,5,39,55,8,53,35
dire,58,18,16,21,1,41,23,39,4,19
dire,31,21,13,63,29,45,9,42,14,68
radiant,31,6,63,5,16,14,23,53,15,22
radiant,35,6,5,29,59,27,1,47,64,22
radiant,15,26,67,57,49,55,6,9,54,19
dire,27,32,18,67,14,10,53,22,7,1
radiant,30,32,59,38,63,1,22,51,28,25
dire,60,63,22,8,21,15,28,29,42,35
dire,66,69,47,14,41,32,25,8,50,29
dire,30,54,34,67,26,9,21,53,47,49
radiant,54,66,57,8,37,68,35,22,32,14
dire,26,21,42,67,50,35,54,9,63,39
dire,16,65,6,31,21,45,9,52,61,14
dire,39,7,57,6,21,34,16,53,51,1
radiant,6,26,7,73,5,20,51,4,19,53
dire,30,54,34,67,26,9,21,53,47,49
radiant,59,69,18,6,65,32,23,67,47,31
radiant,29,40,34,7,4,53,9,22,1,49
radiant,68,1,2,52,14,64,49,32,17,6
radiant,52,15,57,16,26,9,29,11,39,7
radiant,29,7,57,47,6,20,41,9,31,16
dire,4,16,1,23,54,14,9,53,6,7
dire,39,54,1,13,51,52,60,20,19,22
radiant,45,63,31,40,28,20,59,19,38,34
radiant,63,2,21,49,14,9,73,36,28,31
dire,18,52,54,69,4,59,42,58,30,32
dire,59,67,18,30,27,22,26,1,65,69
radiant,4,5,59,73,64,40,22,19,57,20
radiant,5,15,1,28,59,53,54,65,42,21
dire,22,41,13,39,35,17,52,9,7,59
dire,1,6,28,31,53,63,45,47,27,2
radiant,7,22,51,6,26,14,9,1,18,28
dire,69,14,22,7,9,57,51,27,32,6
dire,17,32,14,20,42,6,37,49,47,19
dire,7,64,54,47,37,8,35,23,53,61
radiant,69,21,73,45,9,39,57,14,53,16
radiant,35,53,54,14,9,17,21,40,28,65
radiant,15,2,6,9,42,41,21,34,32,66
dire,8,14,6,25,7,16,15,27,51,2
radiant,9,19,40,33,27,60,28,5,17,55
radiant,69,6,42,53,52,54,21,60,15,58
dire,60,26,23,16,32,14,28,17,63,45
dire,31,17,20,67,42,19,9,33,47,14
radiant,19,60,54,63,5,57,69,7,13,14
dire,61,55,14,9,11,47,57,32,34,18
dire,53,14,64,6,11,35,36,29,25,42
dire,5,11,39,29,60,57,32,19,21,55
dire,59,54,39,58,6,41,7,9,51,57
dire,28,25,59,42,67,37,54,32,35,47
dire,5,4,60,61,57,9,7,73,53,51
radiant,67,19,66,17,68,14,49,35,39,6
radiant,4,9,21,73,59,49,31,1,25,35
radiant,35,25,42,5,20,66,61,1,14,37
radiant,7,41,6,11,9,67,31,59,15,16
dire,11,32,1,53,33,2,18,54,5,59
dire,29,60,50,67,15,6,7,21,13,28
dire,52,42,54,22,47,51,60,1,5,4
dire,45,35,57,67,2,22,6,4,53,49
dire,47,31,54,53,7,35,4,32,34,20
radiant,32,15,45,73,61,63,14,54,21,13
radiant,20,1,31,55,67,40,49,14,52,8
dire,30,29,67,31,15,1,14,9,26,54
dire,21,26,14,50,32,57,8,47,36,9
radiant,21,9,36,60,23,35,1,31,14,41
dire,40,67,52,42,14,23,59,34,8,5
radiant,6,59,20,69,45,31,7,25,61,4
radiant,68,49,52,54,28,53,9,21,32,14
dire,1,16,19,50,5,9,29,54,51,22
radiant,59,40,73,54,37,19,6,65,29,35
radiant,10,7,16,25,17,1,18,40,39,31
radiant,6,23,22,14,53,52,28,68,32,54
dire,37,15,29,32,34,36,61,73,22,68
dire,1,29,17,65,15,60,37,49,6,20
radiant,13,19,53,32,1,54,34,6,18,28
dire,49,37,8,60,68,45,41,54,26,7
radiant,25,6,9,7,17,49,2,45,1,53
radiant,40,49,26,47,30,63,17,32,23,14
dire,32,15,57,28,40,61,54,63,30,34
radiant,6,52,27,53,23,17,32,59,30,73
radiant,6,7,36,51,30,13,19,54,14,25
dire,36,64,35,2,14,53,66,21,32,49
radiant,42,63,19,49,39,57,35,29,68,15
dire,55,6,53,19,10,47,57,21,35,32
radiant,31,60,22,2,50,21,51,7,10,14
dire,60,26,8,32,53,58,28,59,45,20
dire,53,28,31,58,6,4,7,1,35,32
dire,30,60,26,21,7,20,32,69,6,2
radiant,6,7,36,51,30,13,19,54,14,25
radiant,50,25,7,6,53,1,67,37,3,16
radiant,26,60,22,5,67,31,63,16,10,25
dire,53,14,21,9,1,13,54,25,67,47
dire,4,26,67,15,14,4,5,31,49,29
dire,31,69,41,51,21,26,1,63,17,40
radiant,40,69,6,68,7,1,14,17,53,23
dire,16,52,54,15,34,19,6,13,21,53
dire,54,73,33,42,67,38,26,45,11,19
dire,41,31,57,9,52,54,14,40,25,53
dire,19,20,18,45,32,14,21,60,9,64
radiant,73,9,31,39,1,16,58,7,22,63
dire,9,1,54,36,22,23,35,19,27,28
dire,21,9,49,63,16,67,31,60,28,68
radiant,9,39,25,41,63,40,38,1,30,47
radiant,41,7,16,40,59,42,5,14,35,63
dire,68,40,9,16,41,14,20,18,8,21
radiant,21,54,53,42,9,73,31,28,55,11
dire,54,58,42,45,36,63,50,9,6,7
dire,54,58,42,45,36,63,50,9,6,7
radiant,11,13,15,49,25,2,21,59,55,14
dire,7,32,21,2,1,63,22,59,28,17
dire,7,41,57,32,26,28,21,35,10,0
radiant,5,54,1,35,25,57,19,67,39,10
radiant,30,6,9,42,20,26,38,1,39,59
dire,16,45,54,63,52,23,10,7,58,42
dire,19,26,63,10,36,6,9,35,16,14
radiant,14,32,22,7,50,37,67,54,19,21
radiant,1,41,6,53,7,22,4,61,5,25
dire,7,53,54,50,59,20,60,47,36,23
radiant,50,40,59,51,52,42,14,4,53,13
dire,26,23,40,15,2,17,1,18,7,61
radiant,9,68,1,13,69,50,7,27,18,4
radiant,9,16,39,22,35,31,41,34,23,5
dire,16,28,6,4,25,15,20,59,35,11
dire,17,4,19,57,32,15,65,41,54,63
radiant,33,31,35,61,18,7,58,51,50,6
radiant,10,30,8,1,22,25,49,4,7,18
radiant,14,35,69,63,16,1,13,19,59,29
dire,18,47,1,16,57,68,9,17,51,13
radiant,26,8,28,2,54,15,35,57,32,73
dire,54,64,35,18,22,9,7,69,4,5
radiant,63,35,5,49,50,11,58,26,21,18
radiant,54,7,14,10,31,38,35,1,5,69
dire,31,4,60,36,10,6,59,9,21,29
dire,31,4,60,36,10,6,59,9,21,29
radiant,17,10,41,19,5,58,7,2,67,59
dire,13,7,33,41,39,54,28,14,59,6
dire,50,26,49,10,39,23,15,13,37,21
dire,68,31,21,16,14,9,5,23,54,27
radiant,8,14,34,32,1,31,17,10,28,4
radiant,8,14,34,32,1,31,17,10,28,4
dire,50,31,19,1,47,53,2,32,64,9
radiant,61,35,47,54,58,28,53,69,42,1
dire,60,16,31,14,35,28,42,26,67,65
radiant,57,49,17,38,35,32,31,5,14,41
radiant,34,21,8,4,39,28,60,35,41,50
dire,27,9,38,20,26,21,33,23,1,29
dire,31,1,67,42,21,47,32,5,49,7
radiant,57,49,17,38,35,32,31,5,14,41
radiant,21,28,8,22,51,63,31,54,34,14
dire,17,67,54,47,7,50,41,51,15,31
radiant,29,67,50,65,6,47,14,53,31,42
dire,59,7,35,4,34,69,15,25,18,10
radiant,52,69,10,68,13,67,17,2,21,50
dire,21,47,69,42,8,17,63,65,38,64
radiant,39,69,51,9,32,49,1,38,22,45
radiant,1,69,15,4,39,67,42,11,60,53
dire,16,29,36,4,54,8,59,14,68,42
dire,20,38,1,21,28,11,27,42,41,26
dire,18,15,65,55,39,28,52,11,68,23
radiant,13,15,35,28,51,53,2,9,4,54
radiant,6,52,63,64,58,23,1,32,21,14
radiant,9,49,53,57,52,33,61,40,16,25
dire,14,34,130,6,1,9,25,53,2,45
dire,38,18,25,4,68,2,11,54,1,5
dire,50,63,21,9,28,32,42,23,20,60
dire,29,65,5,28,22,14,27,2,11,57
dire,73,28,53,50,10,64,1,14,6,36
radiant,11,4,31,60,22,61,14,9,59,52
radiant,26,1,50,2,40,21,60,2,31,54
radiant,30,49,7,58,14,63,53,38,64,4
radiant,31,11,7,59,68,52,16,10,41,8
radiant,9,23,64,26,4,42,21,60,47,41
dire,49,53,20,28,61,31,59,30,32,10
radiant,38,32,39,41,8,9,34,19,18,68
dire,14,6,59,36,38,7,66,54,49,9
dire,33,13,59,37,8,1,63,21,54,39
radiant,39,63,19,4,8,27,42,21,16,32
dire,45,32,14,1,47,53,19,28,41,61
radiant,14,20,39,6,21,18,55,5,8,42
radiant,9,19,34,67,73,69,11,4,40,21
radiant,1,47,59,20,13,68,32,41,21,33
dire,59,1,22,26,7,9,53,58,23,13
radiant,54,60,63,53,22,14,16,32,47,1
dire,31,16,54,33,67,17,53,40,55,42
radiant,41,18,53,50,23,54,14,13,1,59
radiant,41,18,53,50,23,54,14,13,1,59
radiant,19,41,58,7,54,9,31,60,4,2
radiant,14,19,7,4,40,35,17,9,51,5
dire,49,8,25,57,40,27,63,38,19,17
dire,29,49,61,19,14,60,41,27,32,34
radiant,41,18,53,50,23,54,14,13,1,59
dire,28,15,1,59,8,6,22,25,29,11
dire,28,15,1,59,8,6,22,25,29,11
dire,13,30,7,57,35,6,65,49,11,20
dire,28,15,1,59,8,6,22,25,29,11
dire,28,15,1,59,8,6,22,25,29,11
dire,28,15,1,59,8,6,22,25,29,11
dire,28,15,1,59,8,6,22,25,29,11
radiant,1,57,14,10,64,35,39,29,4,25
dire,2,30,52,28,40,9,73,31,1,25
dire,67,14,39,36,6,19,35,69,68,32
dire,20,6,42,33,29,37,57,22,17,61
radiant,59,2,32,61,7,31,21,64,28,6
radiant,9,1,64,2,7,29,65,39,41,4
radiant,28,29,20,8,58,68,11,32,14,57
radiant,19,29,10,8,5,26,64,7,32,6
dire,132,38,67,5,34,23,15,49,65,19
radiant,68,47,52,25,16,29,11,18,54,9
dire,49,45,18,8,31,64,6,47,19,1
dire,33,5,53,61,29,54,14,64,9,39
radiant,5,4,8,6,57,35,17,1,51,69
dire,20,28,5,68,9,7,54,49,31,59
radiant,73,53,23,6,59,9,32,63,37,60
radiant,68,4,59,54,47,25,41,63,60,5
dire,59,40,5,6,63,45,35,51,42,1
dire,14,33,37,63,51,1,50,9,16,39
dire,37,60,6,59,50,27,1,4,53,16
radiant,69,6,42,21,49,63,53,29,22,20
radiant,14,34,7,31,35,67,59,19,53,73
dire,33,19,54,39,59,16,8,17,18,58
radiant,27,45,1,54,10,59,66,6,34,69
radiant,10,41,14,13,7,59,17,60,25,67
dire,61,19,35,41,16,63,67,9,60,29
radiant,54,13,63,26,29,2,1,14,20,21
radiant,22,54,49,31,52,10,5,20,67,14
radiant,26,19,49,68,9,11,13,67,39,16
radiant,53,64,14,1,16,9,13,5,63,21
dire,14,66,22,67,2,25,32,35,11,16
dire,16,51,59,26,1,60,25,8,50,23
radiant,18,19,41,25,54,40,6,5,14,32
dire,47,32,68,23,27,35,59,65,14,11
radiant,63,16,65,17,9,18,1,2,35,39
radiant,20,51,55,28,1,63,29,35,19,22
radiant,11,61,53,26,28,4,35,7,29,21
radiant,4,55,45,47,28,1,32,60,39,7
dire,1,31,59,29,52,54,4,53,69,34
dire,7,50,14,35,53,40,32,28,57,21
radiant,35,23,8,53,36,49,32,60,21,25
radiant,14,53,61,26,38,41,40,13,28,39
dire,6,14,5,31,17,59,38,63,21,53
radiant,68,13,11,14,8,63,1,26,34,28
radiant,15,20,17,6,16,45,19,40,31,7
radiant,65,63,31,4,9,26,17,32,16,60
dire,33,20,60,8,31,9,16,21,32,11
radiant,4,35,14,7,25,13,67,38,19,50
radiant,59,7,20,21,19,35,32,6,22,18
dire,27,4,22,20,35,5,2,60,9,42
dire,60,21,13,4,53,54,17,11,52,9
dire,41,38,2,17,31,42,50,11,7,9
radiant,42,14,18,69,26,63,1,68,15,7
radiant,8,14,33,13,20,32,4,29,7,11
radiant,1,13,61,42,14,2,60,41,4,8
dire,32,60,30,53,29,33,14,54,26,18
dire,31,69,41,51,21,26,1,63,17,40
dire,27,14,49,21,59,4,61,5,30,29
radiant,34,53,19,14,73,54,11,50,59,1
radiant,34,53,19,14,73,54,11,50,59,1
dire,31,7,11,23,8,61,45,1,54,59
radiant,50,9,28,8,49,68,61,40,26,10
radiant,41,23,28,33,59,0,67,10,42,19
radiant,65,73,11,38,60,41,68,8,21,40
dire,21,29,5,22,41,26,8,2,63,68
radiant,54,42,58,34,11,14,9,29,28,37
radiant,14,9,5,19,18,4,53,10,25,64
dire,15,41,30,40,32,49,14,7,53,63
radiant,41,58,7,54,67,45,6,11,29,13
dire,65,2,73,30,1,57,15,53,67,6
radiant,63,73,5,52,54,19,26,57,1,6
radiant,65,21,22,61,59,66,14,54,9,63
dire,34,31,54,32,40,10,53,28,69,17
radiant,73,15,40,34,31,4,49,52,21,37
dire,14,22,10,1,11,33,32,49,65,30
radiant,42,37,32,1,16,21,4,17,54,47
dire,9,20,29,22,1,8,54,40,32,16
radiant,30,10,6,21,53,40,61,9,7,28
radiant,57,59,53,40,16,34,6,52,9,37
dire,31,69,1,68,53,25,32,6,23,57
radiant,19,49,8,58,2,50,22,63,28,59
radiant,9,6,16,14,60,1,53,59,47,5
dire,59,14,47,69,57,11,58,60,68,64
dire,59,14,47,69,57,11,58,60,68,64
dire,40,41,23,25,16,69,9,57,14,7
dire,11,32,8,54,27,49,22,7,16,37
radiant,6,1,26,36,16,11,10,7,5,20
dire,6,33,54,35,31,42,57,73,14,47
radiant,2,39,40,9,14,63,18,57,20,68
dire,60,55,22,34,53,27,73,47,63,26
radiant,7,6,2,50,39,51,65,61,21,57
radiant,41,40,13,27,6,66,39,30,4,49
radiant,27,21,15,8,49,23,1,26,11,50
dire,31,59,65,28,9,14,67,27,73,47
radiant,8,5,17,68,73,64,32,47,36,67
dire,20,8,9,65,60,16,10,5,17,23
dire,20,8,9,65,60,16,10,5,17,23
dire,20,8,9,65,60,16,10,5,17,23
dire,37,9,21,36,41,20,6,61,39,54
dire,5,8,61,13,54,1,68,45,65,20
dire,1,10,16,60,37,23,17,69,68,54
radiant,39,59,64,1,61,19,34,2,23,63
dire,63,54,58,20,25,4,33,11,32,38
radiant,23,51,34,63,59,32,69,30,40,14
dire,14,18,49,59,2,28,57,8,35,54
radiant,8,1,6,4,15,32,53,49,25,31
radiant,41,60,7,63,21,23,47,1,5,10
dire,60,21,9,51,16,25,49,41,40,36
dire,37,59,9,54,50,31,41,57,33,69
dire,33,15,42,31,53,13,47,40,14,4
dire,40,6,21,7,19,9,8,16,20,59
dire,7,64,57,61,49,28,8,53,5,47
dire,31,14,15,5,29,7,49,61,9,50
dire,29,6,37,67,7,31,58,32,16,38
dire,21,42,60,29,41,1,20,22,50,14
dire,9,53,2,32,31,7,20,49,52,6
dire,60,63,26,20,32,19,9,42,4,8
dire,57,26,9,55,49,8,27,5,17,4
dire,18,63,67,25,45,65,10,42,15,5
dire,25,7,49,15,53,30,14,8,57,69
radiant,60,34,54,41,31,53,15,4,26,42
dire,34,73,20,36,11,5,59,14,8,45
radiant,25,11,73,9,31,53,23,59,1,16
radiant,53,73,35,26,59,32,41,37,21,28
radiant,11,55,49,21,1,14,59,53,31,35
radiant,40,37,63,28,26,6,58,18,64,32
dire,49,13,37,33,19,54,60,65,16,41
radiant,29,1,59,42,57,51,73,23,53,63
radiant,55,6,41,34,22,61,36,67,60,1
radiant,60,16,68,39,19,30,13,61,1,59
radiant,29,21,5,64,18,9,52,73,45,32
radiant,31,10,14,13,32,57,15,50,28,17
radiant,67,32,60,15,4,9,18,8,21,34
dire,59,7,31,8,21,1,14,20,53,41
dire,53,16,59,54,14,63,4,21,8,30
radiant,26,19,4,1,14,15,69,54,68,40
radiant,11,23,63,15,28,14,47,13,40,7
dire,2,8,30,6,39,17,14,40,1,47
radiant,14,4,66,20,21,53,64,2,60,51
dire,4,26,14,42,8,17,52,7,18,10
dire,16,53,6,57,31,69,47,21,40,28
radiant,58,63,17,41,7,53,14,42,55,32
dire,18,9,50,30,63,68,35,67,59,21
radiant,1,19,30,8,35,32,53,36,54,15
dire,28,68,20,53,1,40,61,33,51,8
radiant,32,37,7,9,22,60,20,1,59,14
dire,4,61,51,52,54,45,29,47,20,37
radiant,61,21,26,6,23,2,60,36,53,1
dire,21,8,22,57,28,61,73,33,2,47
dire,68,54,2,21,52,55,29,31,36,32
dire,55,50,10,29,17,5,60,7,21,63
radiant,21,54,34,57,26,15,31,68,14,1
radiant,41,17,34,57,45,1,59,8,32,60
dire,18,14,32,31,28,68,45,19,8,42
dire,32,8,33,69,67,41,2,14,11,35
dire,59,20,8,67,50,14,45,63,32,18
radiant,6,47,42,8,4,31,22,21,66,14
radiant,32,55,4,15,68,21,38,35,26,18
radiant,35,37,68,9,19,59,47,32,22,51
radiant,35,30,16,60,20,5,51,59,15,52
dire,67,10,68,31,29,63,61,64,14,1
dire,2,31,9,18,4,20,68,28,11,57
dire,63,7,35,28,4,50,29,19,47,57
radiant,47,7,15,1,17,31,27,18,49,59
dire,61,14,33,31,41,22,11,53,32,69
dire,51,9,39,11,2,14,16,41,63,66
dire,51,9,39,11,2,14,16,41,63,66
dire,52,7,8,69,31,73,13,55,35,20
dire,30,7,19,63,36,38,53,25,11,49
dire,51,9,39,11,2,14,16,41,63,66
radiant,54,41,68,20,1,36,9,67,59,22
radiant,58,50,5,7,59,33,69,29,45,37
radiant,38,1,58,27,34,8,21,14,40,11
radiant,54,28,47,53,32,7,19,63,5,31
dire,54,53,18,49,55,51,6,59,26,32
radiant,1,53,31,42,64,41,6,14,69,40
radiant,59,20,53,52,50,32,63,14,21,16
radiant,54,18,21,57,61,25,63,14,9,37
radiant,19,54,22,9,68,8,21,5,20,16
radiant,54,53,14,19,27,6,47,57,28,68
dire,2,29,5,41,31,21,22,69,54,42
dire,60,53,23,20,9,35,31,25,73,8
dire,27,1,20,21,47,10,60,14,32,17
dire,53,36,59,5,1,37,9,55,45,7
radiant,21,35,22,6,68,1,30,29,7,27
radiant,31,67,10,51,21,14,68,55,11,7
dire,31,63,16,54,15,28,59,21,42,22
radiant,4,52,22,28,26,39,32,2,9,54
dire,14,68,50,59,19,63,9,26,49,21
dire,26,53,16,33,14,45,61,1,37,21
radiant,9,1,14,63,13,7,15,59,34,33
radiant,42,53,10,14,63,21,9,25,19,29
dire,69,19,31,14,32,40,54,45,1,2
dire,1,54,31,33,53,61,22,14,23,45
radiant,36,59,4,11,2,37,20,67,52,14
dire,33,28,21,47,41,73,16,20,11,32
dire,38,60,20,31,8,69,25,53,4,41
radiant,49,69,36,10,15,51,53,61,16,9
dire,60,1,23,6,7,35,42,16,27,8
dire,25,34,8,22,18,29,4,51,60,21
dire,18,54,39,28,32,6,35,25,36,16
dire,21,42,10,73,6,8,14,63,22,54
dire,14,57,60,9,42,31,41,10,28,21
radiant,38,26,10,6,30,67,37,25,69,58
dire,34,32,66,57,2,49,15,20,7,10
dire,8,21,49,55,51,20,6,59,53,39
dire,14,4,20,32,7,54,16,9,23,34
radiant,28,11,40,34,1,4,32,63,6,14
radiant,36,4,7,32,54,35,31,10,42,59
radiant,69,61,42,35,68,1,25,7,6,57
radiant,59,14,63,2,40,4,68,42,37,54
dire,49,1,14,68,8,9,21,19,32,7
radiant,16,20,11,39,38,6,53,22,28,65
radiant,60,53,4,39,10,47,25,9,21,8
radiant,57,16,49,5,20,19,6,31,1,14
dire,9,29,28,15,54,32,4,26,42,60
radiant,29,15,49,31,69,25,47,7,60,32
dire,26,29,6,65,7,39,22,18,35,19
radiant,5,8,64,32,6,14,31,41,35,7
dire,60,41,29,26,13,69,73,59,40,5
dire,53,52,8,15,65,2,9,54,40,26
dire,53,52,8,15,65,2,9,54,40,26
dire,53,52,8,15,65,2,9,54,40,26
dire,63,11,42,26,47,13,21,54,10,67
dire,31,36,21,63,32,23,9,5,7,10
dire,73,1,13,31,39,53,7,57,17,8
dire,9,41,14,31,19,28,20,30,67,26
radiant,6,64,35,27,60,37,33,22,1,14
dire,53,38,27,15,10,16,7,6,1,20
dire,35,37,49,32,21,6,36,60,18,31
radiant,41,40,30,18,6,53,67,23,28,26
radiant,52,6,73,40,32,20,36,63,9,8
radiant,52,6,73,40,32,20,36,63,9,8
radiant,58,10,14,53,63,25,59,49,32,30
radiant,29,59,26,31,6,34,9,2,21,18
dire,45,17,29,32,8,9,50,4,7,47
radiant,21,29,49,53,35,9,20,28,54,7
dire,30,7,34,69,6,28,58,29,25,5
radiant,9,31,7,4,63,54,5,32,28,16
radiant,41,13,7,69,40,35,25,59,30,4
dire,4,9,57,68,53,6,23,58,35,2
radiant,14,38,5,13,61,69,22,53,6,41
dire,41,67,18,53,14,2,10,5,22,7
radiant,57,47,29,40,54,32,35,28,21,53
radiant,19,50,5,28,8,6,22,14,63,55
dire,29,1,4,16,33,11,67,68,31,54
dire,8,29,69,11,68,26,4,55,49,20
radiant,31,14,7,25,1,41,21,18,68,37
dire,59,51,1,57,22,11,25,15,9,16
radiant,19,17,49,67,8,31,1,21,54,11
dire,29,51,67,47,68,73,30,23,6,11
dire,5,25,32,14,34,6,57,33,10,67
dire,29,51,67,47,68,73,30,23,6,11
dire,54,20,41,47,21,63,16,22,14,45
dire,1,5,32,17,35,14,34,28,15,73
dire,6,50,9,19,35,60,14,73,53,32
radiant,6,40,17,18,69,23,31,16,52,41
dire,35,39,60,18,59,1,45,2,14,20
dire,57,14,50,68,1,26,41,21,2,51
dire,25,21,35,14,73,32,57,20,53,49
dire,16,35,60,18,28,67,19,31,4,7
dire,59,39,19,50,8,36,14,22,35,63
dire,38,50,35,29,28,23,18,32,54,65
radiant,28,39,1,30,13,59,19,20,11,6
radiant,11,21,23,14,30,25,16,42,54,63
dire,59,17,60,53,32,4,25,68,35,23
dire,53,32,15,54,17,2,40,11,8,68
radiant,11,73,1,60,40,39,32,26,25,4
dire,32,10,38,25,21,7,59,54,9,60
dire,54,16,14,41,68,42,67,53,58,4
dire,9,20,21,31,54,10,66,5,37,49
dire,49,4,6,69,17,35,2,13,8,42
dire,57,27,21,14,1,7,35,51,54,64
radiant,31,35,57,42,39,1,68,23,54,51
dire,6,57,1,20,31,34,14,15,49,53
radiant,8,42,29,21,47,16,20,32,22,6
radiant,32,2,27,25,60,8,42,53,35,21
dire,65,29,6,60,33,16,22,53,21,9
radiant,6,68,36,50,69,18,41,60,39,40
radiant,37,54,51,20,15,6,18,4,58,57
radiant,30,16,53,52,47,58,14,51,1,21
radiant,21,32,18,20,60,41,14,68,57,4
radiant,41,27,51,32,25,54,28,23,60,57
radiant,35,73,28,52,25,14,68,49,2,4
dire,28,33,35,22,41,68,1,36,45,42
radiant,35,6,36,7,9,31,5,32,54,21
radiant,47,17,60,58,14,10,1,57,27,9
radiant,22,59,35,51,38,57,26,1,16,37
radiant,15,40,54,4,17,47,20,21,59,31
dire,38,68,40,27,63,1,21,54,13,14
dire,17,28,59,54,32,21,9,68,47,29
dire,21,34,4,32,22,25,10,9,60,5
dire,31,32,9,47,7,16,6,34,30,60
radiant,42,21,17,4,7,22,35,2,67,6
dire,6,15,61,5,35,19,60,51,27,67
radiant,6,28,73,7,25,14,21,26,67,31
radiant,45,13,5,34,30,35,53,57,33,11
radiant,52,26,67,59,16,30,7,68,1,28
radiant,49,47,61,16,11,32,35,69,22,7
radiant,32,8,16,38,26,59,30,53,9,68
radiant,60,22,68,53,9,16,40,10,8,45
dire,15,41,42,6,34,52,54,35,14,47
dire,13,8,51,22,21,57,63,67,36,5
radiant,41,63,18,14,22,26,15,45,21,69
dire,69,1,40,31,54,59,37,67,10,50
dire,41,42,64,27,61,67,21,11,29,50
dire,54,6,33,59,14,41,28,19,65,17
radiant,17,9,23,2,28,54,5,67,63,25
dire,58,28,31,4,27,54,35,37,18,57
radiant,47,1,45,73,49,14,68,17,6,13
dire,1,39,53,14,35,9,63,60,41,68
radiant,8,14,27,69,6,42,9,5,16,47
dire,18,30,29,1,53,68,63,23,47,7
radiant,31,33,28,40,132,7,15,39,73,61
radiant,25,27,38,4,57,60,1,26,42,61
dire,8,47,66,59,6,60,1,63,42,22
dire,68,10,1,54,7,40,21,6,29,53
radiant,1,40,53,61,2,35,20,30,8,17
dire,66,39,32,52,16,41,57,15,20,60
dire,2,13,1,6,9,49,19,47,11,60
dire,17,16,61,53,20,25,6,59,54,60
dire,40,6,60,31,21,35,47,41,37,4
radiant,63,16,58,20,69,6,10,41,38,9
dire,63,53,4,69,54,60,42,9,21,0
dire,4,61,51,52,54,45,29,47,20,37
radiant,63,57,25,7,23,39,61,41,30,4
dire,40,1,15,30,4,4,13,29,9,64
